date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-04-05,Los Angeles,California,06037,5940,132,2020,4,04,2020-04
2020-04-05,Cook,Georgia,13075,1,0,2020,4,04,2020-04
2020-04-05,Hawaii,Hawaii,15001,22,0,2020,4,04,2020-04
2020-04-05,Clark,Illinois,17023,2,0,2020,4,04,2020-04
2020-04-05,Cook,Illinois,17031,8043,186,2020,4,04,2020-04
2020-04-05,Clark,Indiana,18019,66,4,2020,4,04,2020-04
2020-04-05,Clark,Kentucky,21049,11,0,2020,4,04,2020-04
2020-04-05,Clark,Missouri,29045,1,0,2020,4,04,2020-04
2020-04-05,Clark,Nevada,32003,1519,41,2020,4,04,2020-04
2020-04-05,New York City,New York,,68726,3646,2020,4,04,2020-04
2020-04-05,Clark,Ohio,39023,8,0,2020,4,04,2020-04
2020-04-05,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-05,Clark,Washington,53011,145,8,2020,4,04,2020-04
2020-04-05,Clark,Wisconsin,55019,6,0,2020,4,04,2020-04
2020-04-06,Clark,Arkansas,05019,27,0,2020,4,04,2020-04
2020-04-06,Los Angeles,California,06037,6360,147,2020,4,04,2020-04
2020-04-06,Cook,Georgia,13075,2,0,2020,4,04,2020-04
2020-04-06,Hawaii,Hawaii,15001,23,0,2020,4,04,2020-04
2020-04-06,Clark,Illinois,17023,2,0,2020,4,04,2020-04
2020-04-06,Cook,Illinois,17031,8728,209,2020,4,04,2020-04
2020-04-06,Clark,Indiana,18019,72,5,2020,4,04,2020-04
2020-04-06,Clark,Kentucky,21049,11,0,2020,4,04,2020-04
2020-04-06,Clark,Missouri,29045,1,0,2020,4,04,2020-04
2020-04-06,Clark,Nevada,32003,1608,41,2020,4,04,2020-04
2020-04-06,New York City,New York,,73553,4857,2020,4,04,2020-04
2020-04-06,Clark,Ohio,39023,10,0,2020,4,04,2020-04
2020-04-06,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-06,Clark,Washington,53011,168,11,2020,4,04,2020-04
2020-04-06,Clark,Wisconsin,55019,7,0,2020,4,04,2020-04
2020-04-07,Clark,Arkansas,05019,27,0,2020,4,04,2020-04
